epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2075.71,0.52958,0.32616,0.82981,0.98998,0.96904,0.98967,0.877,0.52836,0.30571,0.8177,0.0009176,0.0009176,0.0009176
43,2123.78,0.53184,0.3263,0.83243,0.98011,0.96644,0.98932,0.87754,0.50575,0.31291,0.81528,0.0008912,0.0008912,0.0008912
44,2183.73,0.54704,0.33477,0.83265,0.98756,0.97292,0.99014,0.88488,0.50695,0.31192,0.81175,0.0008648,0.0008648,0.0008648
45,2232.28,0.54609,0.32852,0.83199,0.98755,0.97193,0.98986,0.88963,0.48897,0.30194,0.81161,0.0008384,0.0008384,0.0008384
46,2280.42,0.52592,0.31886,0.82886,0.98602,0.97304,0.98886,0.88046,0.49537,0.30344,0.81284,0.000812,0.000812,0.000812
47,2328.59,0.53929,0.32133,0.83299,0.99,0.97018,0.98938,0.8778,0.52372,0.31282,0.81536,0.0007856,0.0007856,0.0007856
48,2388.65,0.51961,0.30833,0.82838,0.98007,0.97549,0.99087,0.87788,0.50517,0.29882,0.81141,0.0007592,0.0007592,0.0007592
49,2437.67,0.53428,0.32181,0.82984,0.98618,0.97059,0.9911,0.88049,0.4986,0.29461,0.8117,0.0007328,0.0007328,0.0007328
50,2485.65,0.5312,0.30911,0.83061,0.98862,0.96814,0.99088,0.88053,0.50006,0.29237,0.8125,0.0007064,0.0007064,0.0007064
51,2533.82,0.50397,0.3024,0.82258,0.98868,0.96569,0.98928,0.8778,0.4912,0.29336,0.81078,0.00068,0.00068,0.00068
52,2593.89,0.51349,0.30774,0.82509,0.99128,0.96569,0.9915,0.88742,0.48644,0.29448,0.80711,0.0006536,0.0006536,0.0006536
53,2643.35,0.51146,0.29946,0.82375,0.98183,0.96814,0.99037,0.88573,0.49648,0.28794,0.80904,0.0006272,0.0006272,0.0006272
54,2691.67,0.51976,0.3047,0.82615,0.98992,0.96326,0.99042,0.87847,0.51448,0.2937,0.81682,0.0006008,0.0006008,0.0006008
55,2739.74,0.50612,0.29582,0.82491,0.98753,0.9702,0.9909,0.88898,0.48207,0.27892,0.8068,0.0005744,0.0005744,0.0005744
56,2799.65,0.49665,0.29396,0.82517,0.98794,0.96814,0.98988,0.88326,0.499,0.29196,0.80926,0.000548,0.000548,0.000548
57,2849.02,0.50225,0.29545,0.81986,0.98215,0.96814,0.98971,0.88115,0.50692,0.28724,0.81043,0.0005216,0.0005216,0.0005216
58,2897.08,0.50561,0.29364,0.82541,0.98879,0.96814,0.98941,0.88188,0.49175,0.28328,0.80916,0.0004952,0.0004952,0.0004952
